estacion_id,fecha,lluvia_total,temp_media
CMEZA,2000-10-01,294.5,22.419354838709676
CMEZA,2000-11-01,195.4,21.92
CMEZA,2000-12-01,253.8,24.580645161290324
CMEZA,2001-01-01,254.29999999999998,24.874193548387098
CMEZA,2001-02-01,88.6,24.87857142857143
CMEZA,2001-03-01,100.89999999999999,24.07741935483871
CMEZA,2001-04-01,216.7,22.413333333333334
CMEZA,2001-05-01,87.9,15.73225806451613
CMEZA,2001-06-01,70.4,15.28
CMEZA,2001-07-01,72.2,15.964516129032257
CMEZA,2001-08-01,75.7,18.996774193548386
CMEZA,2001-09-01,153.3,18.0
CMEZA,2001-10-01,62.89999999999999,21.312903225806455
CMEZA,2001-11-01,259.9,23.813333333333333
CMEZA,2001-12-01,136.0,24.20967741935484
CMEZA,2002-01-01,466.3,24.200000000000003
CMEZA,2002-02-01,68.3,23.74642857142857
CMEZA,2002-03-01,271.40000000000003,25.74516129032258
CMEZA,2002-04-01,123.5,22.546666666666667
CMEZA,2002-05-01,234.6,19.38064516129032
CMEZA,2002-06-01,149.89999999999998,16.106666666666666
CMEZA,2002-07-01,124.7,14.712903225806452
CMEZA,2002-08-01,142.70000000000002,18.067741935483873
CMEZA,2002-09-01,142.8,17.736666666666668
CMEZA,2002-10-01,261.7,21.848387096774193
CMEZA,2002-11-01,170.3,22.823333333333334
CMEZA,2002-12-01,154.2,24.761290322580646
CMEZA,2003-01-01,84.0,25.551612903225806
CMEZA,2003-02-01,242.6,24.696428571428573
CMEZA,2003-03-01,123.69999999999999,23.4741935483871
CMEZA,2003-04-01,132.3,20.790000000000003
CMEZA,2003-05-01,7.699999999999999,17.206451612903226
CMEZA,2003-06-01,102.4,18.836666666666666
CMEZA,2003-07-01,37.8,15.82258064516129
CMEZA,2003-08-01,64.8,14.358064516129033
CMEZA,2003-09-01,53.199999999999996,19.290000000000003
CMEZA,2003-10-01,185.5,22.40967741935484
CMEZA,2003-11-01,144.1,22.44333333333333
CMEZA,2003-12-01,473.1,23.212903225806453
CMEZA,2004-01-01,87.7,25.335483870967742
CMEZA,2004-02-01,81.5,23.596551724137928
CMEZA,2004-03-01,22.4,24.27741935483871
CMEZA,2004-04-01,177.8,22.7
CMEZA,2004-05-01,108.8,14.670967741935485
CMEZA,2004-06-01,81.89999999999999,16.383333333333333
